UID,Condition,Index,Time,Player_X,Player_Y,Player_Z,Left_X,Left_Y,Left_Z,LeftRot_X,LeftRot_Y,LeftRot_Z,LeftRot_W,Right_X,Right_Y,Right_Z,RightRot_X,RightRot_Y,RightRot_Z,RightRot_W,GazeObject,GP_X,GP_Y,GP_Z,GO_X,GO_Y,GO_Z,GZ_X,GZ_Y,GZ_Z,RE_X,RE_Y,RE_Z,RED_X,RED_Y,RED_Z,LE_X,LE_Y,LE_Z,LED_X,LED_Y,LED_Z,H_X,H_Y,H_Z,HR_X,HR_Y,HR_Z,Blinking,BlinkCount,EventTriggered
1,Center_Dir_Close,0,10.58,0.1055156,1.096929,-0.6682693,0.07876935,0.8692144,-0.6216817,0.6481446,-0.1457379,0.03230869,-0.746743,0.3120531,0.6978969,-0.3521401,0.1829381,0.04015526,-0.2546556,0.9487211,End,0,0,9.5,0.105516,1.096911,-0.6682965,-0.07231302,0.1136601,0.9908845,0.137345,1.097553,-0.6660231,-0.07215165,0.1135312,0.9909111,0.07368611,1.096306,-0.6705155,-0.07215165,0.1135312,0.9909111,0.1055156,1.096929,-0.6682693,353.4811,355.8354,1.126719,0,0,False
1,Center_Dir_Close,1,10.6,0.105519,1.096931,-0.6682801,0.07879058,0.869163,-0.6215826,0.6482086,-0.1456936,0.03235046,-0.7466943,0.310831,0.6981254,-0.3522139,0.1820397,0.03845061,-0.2527814,0.9494655,End,0,0,9.5,0.1055156,1.096929,-0.6682693,-0.07215154,0.1135312,0.9909111,0.1373486,1.097551,-0.6660352,-0.07210235,0.1137144,0.9908937,0.07368937,1.09631,-0.6705249,-0.07210235,0.1137144,0.9908937,0.105519,1.096931,-0.6682801,353.4705,355.8382,1.121598,0,0,False
1,Center_Dir_Close,2,10.62,0.1054988,1.096935,-0.6683102,0.07882036,0.8691151,-0.6214562,0.6481829,-0.1456331,0.03237591,-0.7467274,0.3099511,0.697455,-0.3519519,0.1845632,0.04139771,-0.2469633,0.9503851,End,0,0,9.5,0.105519,1.096931,-0.6682801,-0.07210278,0.1137145,0.9908937,0.1373285,1.097566,-0.6660691,-0.0720218,0.1137484,0.9908956,0.07366918,1.096304,-0.6705512,-0.0720218,0.1137484,0.9908956,0.1054988,1.096935,-0.6683102,353.4686,355.8429,1.139635,0,0,False
1,Center_Dir_Close,3,10.64,0.1054451,1.096904,-0.6683975,0.07886425,0.8687661,-0.6214099,0.6480171,-0.1454995,0.03241217,-0.7468957,0.3098841,0.6956199,-0.3514677,0.1882917,0.05405353,-0.2360395,0.951793,End,0,0,9.5,0.1054832,1.096923,-0.6683478,-0.07224694,0.1137079,0.9908839,0.1372738,1.097548,-0.6661458,-0.07239842,0.1136046,0.9908847,0.07361647,1.09626,-0.6706493,-0.07239842,0.1136046,0.9908847,0.1054451,1.096904,-0.6683975,353.4768,355.8211,1.163459,0,0,False
1,Center_Dir_Close,4,10.66,0.1054011,1.096861,-0.6683844,0.07885072,0.8686516,-0.6214904,0.648044,-0.1453694,0.0324204,-0.7468973,0.3105814,0.6943321,-0.3509674,0.1921613,0.06172976,-0.232002,0.9515454,End,0,0,9.5,0.1054451,1.096904,-0.6683975,-0.07239853,0.1136051,0.9908846,0.1372287,1.097512,-0.6661194,-0.07283476,0.1135007,0.9908646,0.07357354,1.096211,-0.6706493,-0.07283476,0.1135007,0.9908646,0.1054011,1.096861,-0.6683844,353.4828,355.796,1.176073,0,0,False
1,Center_Dir_Close,5,10.68,0.1053052,1.096819,-0.6683745,0.07888748,0.8686577,-0.6213053,0.6481934,-0.1451116,0.03250885,-0.746814,0.312869,0.6920674,-0.3495487,0.1984364,0.07594291,-0.228893,0.9499809,End,0,0,9.5,0.105338,1.096837,-0.6683599,-0.07301635,0.1130622,0.9909014,0.1371326,1.097448,-0.6661013,-0.07300851,0.113197,0.9908866,0.07347772,1.096191,-0.6706478,-0.07300851,0.113197,0.9908866,0.1053052,1.096819,-0.6683745,353.5004,355.7861,1.135342,0,0,False
1,Center_Dir_Close,6,10.7,0.1052963,1.096848,-0.6684002,0.07893107,0.8683795,-0.6212296,0.6482975,-0.1450555,0.03260437,-0.7467304,0.3142999,0.6916364,-0.3489993,0.2002874,0.08275951,-0.2290688,0.9489802,End,0,0,9.5,0.1053052,1.096819,-0.6683745,-0.07300863,0.1131967,0.9908866,0.1371244,1.097466,-0.6661329,-0.07278161,0.1132166,0.990901,0.07346825,1.096231,-0.6706674,-0.07278161,0.1132166,0.990901,0.1052963,1.096848,-0.6684002,353.4992,355.7992,1.115714,0,0,False
1,Center_Dir_Close,7,10.72,0.1053274,1.096946,-0.6684307,0.07887436,0.8682007,-0.6214411,0.6484264,-0.1451201,0.03268022,-0.7466025,0.3173108,0.691705,-0.3487112,0.2002089,0.101473,-0.2271751,0.9476345,End,0,0,9.5,0.1053092,1.096889,-0.6684215,-0.07239944,0.113778,0.9908647,0.1371568,1.097571,-0.666185,-0.07214776,0.1140923,0.9908469,0.07349788,1.096322,-0.6706764,-0.07214776,0.1140923,0.9908469,0.1053274,1.096946,-0.6684307,353.4487,355.8354,1.128682,0,0,False
1,Center_Dir_Close,8,10.74,0.1053332,1.096979,-0.6684442,0.0788663,0.868206,-0.6213902,0.6484066,-0.145109,0.03272384,-0.74662,0.3184794,0.6914316,-0.3483976,0.2002067,0.1064972,-0.2306223,0.94625,End,0,0,9.5,0.1053274,1.096946,-0.6684307,-0.07214785,0.1140921,0.9908469,0.137163,1.097614,-0.6662057,-0.07196508,0.1146015,0.9908015,0.07350348,1.096344,-0.6706826,-0.07196508,0.1146015,0.9908015,0.1053332,1.096979,-0.6684442,353.4194,355.8457,1.147199,0,0,False
1,Center_Dir_Close,9,10.76,0.1053894,1.097036,-0.6683812,0.07876585,0.8683337,-0.6212938,0.6483539,-0.1448927,0.03284261,-0.7467026,0.3197766,0.690932,-0.3479502,0.202007,0.1098849,-0.2397019,0.9432186,End,0,0,9.5,0.1053598,1.097023,-0.6684168,-0.0720439,0.1145426,0.9908025,0.1372183,1.097693,-0.6661373,-0.07221321,0.1144538,0.9908005,0.07356048,1.096379,-0.6706252,-0.07221321,0.1144538,0.9908005,0.1053894,1.097036,-0.6683812,353.4279,355.8315,1.186917,0,0,False
