UID,Condition,Index,Time,Player_X,Player_Y,Player_Z,Left_X,Left_Y,Left_Z,LeftRot_X,LeftRot_Y,LeftRot_Z,LeftRot_W,Right_X,Right_Y,Right_Z,RightRot_X,RightRot_Y,RightRot_Z,RightRot_W,GazeObject,GP_X,GP_Y,GP_Z,GO_X,GO_Y,GO_Z,GZ_X,GZ_Y,GZ_Z,RE_X,RE_Y,RE_Z,RED_X,RED_Y,RED_Z,LE_X,LE_Y,LE_Z,LED_X,LED_Y,LED_Z,H_X,H_Y,H_Z,HR_X,HR_Y,HR_Z,Blinking,BlinkCount,EventTriggered
1,Center_Head_Far,0,6.759997,0.09709843,1.06409,-0.1376613,-0.1822444,0.7144889,0.2389142,0.07683412,-0.1846387,0.378031,0.9039345,0.246746,0.6952494,0.2465119,-0.01957846,0.003995299,0.3364663,-0.9414835,Rigidbody,0.8414335,0.861119,0.04037406,0.09728188,1.064066,-0.1375373,-0.02069184,0.0264121,-0.999437,0.1301973,1.063921,-0.1341786,-0.005106702,0.02672622,0.9996297,0.06399952,1.064258,-0.141144,0.04859397,0.0262714,0.998473,0.09709843,1.06409,-0.1376613,348.2249,354.0538,359.704,0,2,False
1,Center_Head_Far,1,6.779998,0.09674902,1.064427,-0.1377972,-0.1795853,0.7134926,0.2411229,0.08827949,-0.1837929,0.3724242,0.9053878,0.246746,0.6952494,0.2465119,-0.01957846,0.003995299,0.3364663,-0.9414835,Rigidbody,0.8414335,0.861119,0.04037406,0.09709843,1.06409,-0.1376613,-0.02063003,0.02658609,-0.9994338,0.1298498,1.064202,-0.1343351,-0.005558528,0.02725677,0.999613,0.06364828,1.064652,-0.1412592,0.04814944,0.02670792,0.9984831,0.09674902,1.064427,-0.1377972,348.1897,354.1101,359.6042,0,2,False
1,Center_Head_Far,2,6.799998,0.09628564,1.06462,-0.1380331,-0.1785558,0.7134472,0.241569,0.08929215,-0.1810386,0.3734494,0.9054211,0.246746,0.6952494,0.2465119,-0.01957846,0.003995299,0.3364663,-0.9414835,Rigidbody,0.8414335,0.861119,0.04037406,0.09652611,1.064546,-0.137922,-0.01770551,0.02754418,-0.9994639,0.129394,1.064442,-0.1346415,-0.008290574,0.02827871,0.9995657,0.06317732,1.064798,-0.1414246,0.04545294,0.02780682,0.9985794,0.09628564,1.06462,-0.1380331,348.1531,354.2153,359.6872,0,2,False
1,Center_Head_Far,3,6.819998,0.09605958,1.06469,-0.1381509,-0.1781222,0.7133505,0.2418963,0.09036688,-0.1805621,0.372961,0.905611,0.246746,0.6952494,0.2465119,-0.01957846,0.003995299,0.3364663,-0.9414835,Rigidbody,0.8414335,0.861119,0.04037406,0.09628564,1.06462,-0.1380331,-0.01858763,0.02804276,-0.9994339,0.1291715,1.064526,-0.1347936,-0.007265069,0.02858958,0.9995648,0.06294769,1.064854,-0.1415082,0.04647755,0.0281381,0.9985229,0.09605958,1.06469,-0.1381509,348.1374,354.2697,359.7115,0,2,False
1,Center_Head_Far,4,6.839998,0.09542526,1.064939,-0.1382991,-0.177854,0.7146285,0.2408423,0.08110813,-0.1764273,0.3687021,0.90904,0.246746,0.6952494,0.2465119,-0.05104769,0.6416954,-0.165748,0.7470936,Rigidbody,0.8414335,0.861119,0.04037406,0.09583914,1.064761,-0.1382625,-0.02002074,0.02873819,-0.9993867,0.1285362,1.064949,-0.1349283,-0.008174658,0.03078727,0.9994925,0.06231434,1.064928,-0.1416699,0.0455726,0.03060488,0.9984921,0.09542526,1.064939,-0.1382991,348.039,354.1834,0.01820192,0,2,False
1,Center_Head_Far,5,6.859998,0.09503441,1.064929,-0.1384041,-0.1777532,0.7149583,0.2407375,0.07989911,-0.1759447,0.3667693,0.9100219,0,0,0,0,0,0,1,Rigidbody,0.8414335,0.861119,0.04037406,0.09542526,1.064939,-0.1382991,-0.008890379,0.02420029,-0.9996676,0.1281451,1.064972,-0.1350316,-0.01809324,0.0249031,0.9995261,0.06192368,1.064886,-0.1417765,0.03572252,0.02482431,0.9990534,0.09503441,1.064929,-0.1384041,348.0069,354.1687,0.07516303,0,2,False
1,Center_Head_Far,6,6.879998,0.0943046,1.064994,-0.1386356,-0.1774314,0.7151859,0.2407471,0.07910309,-0.1751263,0.3652661,0.9108536,0,0,0,0,0,0,1,Rigidbody,0.8414335,0.861119,0.04037406,0.09465545,1.064957,-0.1385266,-0.008772905,0.02517798,-0.9996445,0.1274157,1.06512,-0.1352694,-0.017969,0.02573659,0.9995072,0.06119346,1.064867,-0.1420018,0.03584669,0.02578801,0.9990245,0.0943046,1.064994,-0.1386356,347.971,354.1488,0.2219067,0,2,False
1,Center_Head_Far,7,6.899998,0.09392194,1.064762,-0.1387715,-0.1777487,0.7152894,0.2405431,0.0786498,-0.1755252,0.3658567,0.910579,0,0,0,0,0,0,1,Rigidbody,0.8414335,0.861119,0.04037406,0.0943046,1.064994,-0.1386356,-0.008942228,0.02576287,-0.9996282,0.1270273,1.06496,-0.1353527,-0.01961049,0.02518074,0.9994905,0.06081654,1.064564,-0.1421903,0.03420566,0.0253516,0.9990932,0.09392194,1.064762,-0.1387715,348.0134,354.0317,0.3478221,0,2,False
1,Center_Head_Far,8,6.919998,0.09353867,1.064582,-0.1388667,-0.1780053,0.7149682,0.2404991,0.07947812,-0.1758658,0.3670238,0.9099714,0,0,0,0,0,0,1,Rigidbody,0.8414335,0.861119,0.04037406,0.09392194,1.064762,-0.1387715,-0.00635354,0.02526331,-0.9996606,0.1266386,1.064839,-0.1353993,-0.02206774,0.02389151,0.999471,0.06043873,1.064325,-0.1423342,0.03175436,0.02416761,0.9992035,0.09353867,1.064582,-0.1388667,348.0959,353.9264,0.4522331,0,2,False
1,Center_Head_Far,9,6.939998,0.09277071,1.064372,-0.1391089,-0.1779124,0.7148211,0.2405811,0.08030004,-0.1764447,0.3657531,0.9102988,0,0,0,0,0,0,1,Rigidbody,0.8414335,0.861119,0.04037406,0.09312035,1.064466,-0.1389862,-0.001127508,0.02301997,-0.9997345,0.1258616,1.064722,-0.1355637,-0.02702434,0.02224168,0.9993873,0.05967986,1.064022,-0.1426541,0.02681226,0.02268152,0.9993831,0.09277071,1.064372,-0.1391089,348.2057,353.7591,0.6157025,0,2,False
