UID,Condition,Index,Time,Player_X,Player_Y,Player_Z,Left_X,Left_Y,Left_Z,LeftRot_X,LeftRot_Y,LeftRot_Z,LeftRot_W,Right_X,Right_Y,Right_Z,RightRot_X,RightRot_Y,RightRot_Z,RightRot_W,GazeObject,GP_X,GP_Y,GP_Z,GO_X,GO_Y,GO_Z,GZ_X,GZ_Y,GZ_Z,RE_X,RE_Y,RE_Z,RED_X,RED_Y,RED_Z,LE_X,LE_Y,LE_Z,LED_X,LED_Y,LED_Z,H_X,H_Y,H_Z,HR_X,HR_Y,HR_Z,Blinking,BlinkCount,EventTriggered
1,Right_Dir_Close,0,45.33998,-0.04612784,1.536305,0.127686,-0.05126921,1.192292,0.1425155,-0.5564237,-0.1374921,0.05812284,0.8173802,0.0373237,1.074611,0.2946295,-0.03751546,0.0513619,-0.08791238,0.9940956,MathCanvas,0.1081804,1.540138,3.533446,-0.04610182,1.536353,0.1277,-0.04148937,0.04313829,0.9982073,-0.01341945,1.537124,0.1356891,-0.06802486,0.04266947,0.9967707,-0.07883623,1.535486,0.119683,-0.01499934,0.04352405,0.9989398,-0.04612784,1.536305,0.127686,352.6726,346.0718,1.404677,0,13,False
1,Right_Dir_Close,1,45.35999,-0.0462063,1.53627,0.1276431,-0.05129137,1.192289,0.1425476,-0.5565729,-0.137398,0.05816118,0.8172917,0.03726467,1.075879,0.2938995,-0.04534936,0.0501935,-0.0933164,0.9933359,MathCanvas,0.1081804,1.540138,3.533446,-0.0461617,1.536277,0.1276612,-0.08308996,-0.1207649,0.9891976,-0.01349755,1.537084,0.1356451,-0.1097171,-0.1217803,0.9864744,-0.07891506,1.535455,0.1196411,-0.05645509,-0.1194816,0.99123,-0.0462063,1.53627,0.1276431,352.6724,346.0746,1.397257,0,13,False
1,Right_Dir_Close,2,45.37999,-0.04624222,1.536266,0.1276259,-0.0512935,1.19229,0.1425537,-0.5565998,-0.137369,0.05816834,0.8172778,0.03707664,1.076265,0.2938111,-0.04663238,0.04915617,-0.09450674,0.9932158,MathCanvas,0.1081804,1.540138,3.533446,-0.0462063,1.53627,0.1276431,-0.08312058,-0.1206311,0.9892114,-0.01353351,1.537084,0.1356278,-0.1097044,-0.1216942,0.9864864,-0.07895093,1.535448,0.119624,-0.05644253,-0.1193906,0.9912418,-0.04624222,1.536266,0.1276259,352.6682,346.074,1.403303,0,13,False
1,Right_Dir_Close,3,45.39998,-0.04622325,1.536297,0.1276008,-0.05138763,1.192326,0.1426726,-0.5566349,-0.137324,0.05832317,0.8172504,0.03526538,1.075616,0.2948542,-0.03479457,0.04086331,-0.08457433,0.9949707,MathCanvas,0.1081804,1.540138,3.533446,-0.04624222,1.536266,0.1276259,-0.0831078,-0.1205425,0.9892232,-0.01350864,1.537117,0.1355784,-0.1089893,-0.1212965,0.9866146,-0.07893784,1.535478,0.1196232,-0.05572376,-0.1189939,0.9913301,-0.04622325,1.536297,0.1276008,352.6454,346.1156,1.405777,0,13,False
1,Right_Dir_Close,4,45.41998,-0.04625949,1.536319,0.127547,-0.05139227,1.192325,0.1426867,-0.5566221,-0.1373047,0.05834883,0.8172604,0.03532447,1.075394,0.2949826,-0.03414214,0.04213678,-0.08392878,0.9949949,MathCanvas,0.1081804,1.540138,3.533446,-0.0462378,1.536314,0.1275676,-0.08208737,-0.1199403,0.9893816,-0.01354012,1.537157,0.135503,-0.1082957,-0.1208538,0.9867453,-0.07897885,1.53548,0.1195909,-0.05502832,-0.1185245,0.9914252,-0.04625949,1.536319,0.127547,352.6239,346.1485,1.438332,0,13,False
1,Right_Dir_Close,5,45.43998,-0.04628531,1.536322,0.1275276,-0.05139227,1.192325,0.1426867,-0.5566221,-0.1373047,0.05834883,0.8172604,0.03532447,1.075394,0.2949826,-0.03414214,0.04213678,-0.08392878,0.9949949,MathCanvas,0.1081804,1.540138,3.533446,-0.04625949,1.536319,0.127547,-0.08023501,-0.1269314,0.9886611,-0.0135643,1.537165,0.1354764,-0.1066072,-0.1279275,0.9860373,-0.07900631,1.535479,0.1195788,-0.05334646,-0.1255259,0.9906551,-0.04628531,1.536322,0.1275276,352.6132,346.1599,1.446344,0,13,False
1,Right_Dir_Close,6,45.45998,-0.0462163,1.536287,0.1273822,-0.0514271,1.192267,0.1428248,-0.556756,-0.1369233,0.05861812,0.817214,0.03537295,1.07349,0.2967054,-0.02216661,0.05161217,-0.07676399,0.9954658,MathCanvas,0.1081804,1.540138,3.533446,-0.04621096,1.536292,0.1274198,-0.07570948,-0.1268734,0.9890254,-0.0134824,1.537128,0.135278,-0.1019225,-0.1279159,0.986534,-0.0789502,1.535447,0.1194864,-0.0486671,-0.1254971,0.9908996,-0.0462163,1.536287,0.1273822,352.6195,346.2534,1.442335,0,13,False
1,Right_Dir_Close,7,45.47998,-0.04622253,1.536285,0.1273422,-0.05142665,1.192253,0.1428643,-0.5568095,-0.1368621,0.0586678,0.8171842,0.03540218,1.073224,0.296831,-0.02122253,0.05264778,-0.07545415,0.9955323,MathCanvas,0.1081804,1.540138,3.533446,-0.0462163,1.536287,0.1273822,-0.07532629,-0.1267065,0.989076,-0.01348503,1.537133,0.1352223,-0.1014332,-0.1277801,0.986602,-0.07896003,1.535438,0.1194621,-0.04817615,-0.1253517,0.990942,-0.04622253,1.536285,0.1273422,352.6132,346.2791,1.453871,0,13,False
1,Right_Dir_Close,8,45.49998,-0.04631571,1.536377,0.1272461,-0.05137972,1.192263,0.142921,-0.5569811,-0.1364623,0.05895443,0.8171135,0.03556314,1.072009,0.2966836,-0.02083245,0.05574531,-0.07189671,0.9956352,MathCanvas,0.1081804,1.540138,3.533446,-0.04625022,1.53631,0.1272813,-0.07501233,-0.1261014,0.9891772,-0.01358162,1.537215,0.1351414,-0.1019918,-0.1266434,0.986691,-0.07904981,1.53554,0.1193508,-0.04873548,-0.1242407,0.9910545,-0.04631571,1.536377,0.1272461,352.5446,346.253,1.436838,0,13,False
1,Right_Dir_Close,9,45.51999,-0.04634925,1.536424,0.1272154,-0.05138471,1.192264,0.1429293,-0.5570202,-0.1364154,0.05897482,0.8170933,0.0355146,1.071846,0.2967096,-0.02020586,0.05577279,-0.07120762,0.995696,MathCanvas,0.1081804,1.540138,3.533446,-0.04631571,1.536377,0.1272461,-0.07539459,-0.1254421,0.989232,-0.0136172,1.537268,0.1351185,-0.1022213,-0.1262092,0.9867229,-0.07908131,1.535579,0.1193124,-0.0489663,-0.1237987,0.9910985,-0.04634925,1.536424,0.1272154,352.5209,346.2373,1.449154,0,13,False
1,Right_Dir_Close,10,45.53999,-0.04637598,1.536443,0.127177,-0.05138471,1.192264,0.1429293,-0.5570202,-0.1364154,0.05897482,0.8170933,0.0355146,1.071846,0.2967096,-0.02020586,0.05577279,-0.07120762,0.995696,MathCanvas,0.1081804,1.540138,3.533446,-0.04634925,1.536424,0.1272154,-0.07579975,-0.1239734,0.9893861,-0.01364338,1.537289,0.1350775,-0.1023358,-0.1248282,0.9868867,-0.07910858,1.535596,0.1192764,-0.04907946,-0.1224273,0.9912632,-0.04637598,1.536443,0.127177,352.5012,346.2407,1.45204,0,13,False
1,Right_Dir_Close,11,45.55998,-0.04655622,1.536542,0.1271603,-0.05146271,1.192265,0.1430538,-0.5577066,-0.1370115,0.05873828,0.8165421,0.0356717,1.071714,0.2965842,-0.01933762,0.05471509,-0.07122713,0.9957706,MathCanvas,0.1081804,1.540138,3.533446,-0.0465026,1.536536,0.1271841,-0.08312777,-0.1236852,0.9888335,-0.01384009,1.537401,0.1351274,-0.1101707,-0.1246916,0.98606,-0.07927235,1.535683,0.1191931,-0.05690129,-0.12231,0.9908594,-0.04655622,1.536542,0.1271603,352.482,346.1206,1.474213,0,13,False
1,Right_Dir_Close,12,45.57998,-0.04660313,1.536556,0.1271369,-0.05146271,1.192265,0.1430538,-0.5577066,-0.1370115,0.05873828,0.8165421,0.03571155,1.071777,0.2965939,-0.0193317,0.05463353,-0.07173318,0.9957388,MathCanvas,0.1081804,1.540138,3.533446,-0.04655622,1.536542,0.1271603,-0.08357056,-0.1235009,0.9888192,-0.01389051,1.537416,0.1351184,-0.1106096,-0.1244555,0.9860408,-0.07931574,1.535695,0.1191555,-0.05734228,-0.1220735,0.9908632,-0.04660313,1.536556,0.1271369,352.4685,346.0949,1.476654,0,13,False
1,Right_Dir_Close,13,45.59998,-0.04665358,1.536467,0.1271038,-0.05154775,1.192197,0.1431019,-0.5577559,-0.1378197,0.05872438,0.8163734,0.03585014,1.07207,0.2966895,-0.0194732,0.05493668,-0.07291818,0.9956333,MathCanvas,0.1081804,1.540138,3.533446,-0.04665183,1.536523,0.1271295,-0.08632907,-0.122271,0.9887351,-0.0139411,1.537339,0.1350845,-0.1128607,-0.1236642,0.9858852,-0.07936606,1.535595,0.119123,-0.05958588,-0.1212852,0.9908277,-0.04665358,1.536467,0.1271038,352.4981,346.0942,1.49606,0,13,False
1,Right_Dir_Close,14,45.61998,-0.04661138,1.536389,0.1270683,-0.05152738,1.192168,0.1430876,-0.5578261,-0.1379447,0.05868398,0.8163073,0.03586253,1.072312,0.2967199,-0.02046418,0.05508238,-0.07283387,0.9956115,MathCanvas,0.1081804,1.540138,3.533446,-0.04665358,1.536467,0.1271038,-0.08625849,-0.1224748,0.988716,-0.01389882,1.53726,0.1350489,-0.1128359,-0.1241611,0.9858256,-0.07932393,1.535519,0.1190876,-0.05956118,-0.1217809,0.9907683,-0.04661138,1.536389,0.1270683,352.5266,346.0956,1.493014,0,13,False
1,Right_Dir_Close,15,45.63998,-0.04662938,1.536341,0.1270513,-0.05151533,1.192188,0.1431451,-0.5577755,-0.1378091,0.05859024,0.8163715,0.03591119,1.072479,0.2967972,-0.02108467,0.05524942,-0.07287686,0.9955862,MathCanvas,0.1081804,1.540138,3.533446,-0.04664389,1.536364,0.1270503,-0.08769786,-0.1231126,0.9885102,-0.01391737,1.537209,0.1350344,-0.1142384,-0.1244773,0.9856242,-0.07934138,1.535474,0.1190681,-0.06095973,-0.1221076,0.9906431,-0.04662938,1.536341,0.1270513,352.5413,346.0921,1.488514,0,13,False
1,Right_Dir_Close,16,45.65998,-0.04663036,1.536326,0.1270427,-0.05151568,1.192196,0.1431636,-0.5577263,-0.1377658,0.05858807,0.8164126,0.03593277,1.07251,0.2968277,-0.0211314,0.05533612,-0.07294666,0.9955753,MathCanvas,0.1081804,1.540138,3.533446,-0.04662938,1.536341,0.1270513,-0.08950498,-0.1275697,0.9877828,-0.01391958,1.537195,0.1350306,-0.1162416,-0.1288593,0.9848265,-0.07934114,1.535456,0.1190547,-0.06295945,-0.1264675,0.9899707,-0.04663036,1.536326,0.1270427,352.5472,346.0835,1.491739,0,13,False
