UID,Condition,Index,Time,Player_X,Player_Y,Player_Z,Left_X,Left_Y,Left_Z,LeftRot_X,LeftRot_Y,LeftRot_Z,LeftRot_W,Right_X,Right_Y,Right_Z,RightRot_X,RightRot_Y,RightRot_Z,RightRot_W,GazeObject,GP_X,GP_Y,GP_Z,GO_X,GO_Y,GO_Z,GZ_X,GZ_Y,GZ_Z,RE_X,RE_Y,RE_Z,RED_X,RED_Y,RED_Z,LE_X,LE_Y,LE_Z,LED_X,LED_Y,LED_Z,H_X,H_Y,H_Z,HR_X,HR_Y,HR_Z,Blinking,BlinkCount,EventTriggered
1,Right_Dir_Far,0,27.59999,-0.009682842,1.492126,-0.04279143,-0.02237286,1.186407,-0.04056706,0.6216794,-0.02253957,-0.07925005,-0.7789263,0.06884858,1.065553,0.1057122,0.04764161,0.1644975,-0.06762409,0.9829028,MathCanvas,0.2808167,1.204813,1.623742,-0.009666126,1.492108,-0.04282169,0.170249,-0.1793904,0.9689347,0.02173756,1.491771,-0.04837532,0.1701704,-0.1793372,0.9689583,-0.04110324,1.492482,-0.03720753,0.1701704,-0.1793372,0.9689583,-0.009682842,1.492126,-0.04279143,10.33116,9.96082,359.3514,0,0,False
1,Right_Dir_Far,1,27.61999,-0.009704929,1.492136,-0.04275895,-0.02236015,1.186398,-0.04046253,0.6216621,-0.0225213,-0.07919049,-0.7789466,0.06823812,1.066,0.1057914,0.04543007,0.1645864,-0.06263771,0.983323,MathCanvas,0.2808167,1.204813,1.623742,-0.009682842,1.492126,-0.04279143,0.1701704,-0.1793372,0.9689583,0.02171605,1.491784,-0.04833978,0.1701028,-0.1791957,0.9689963,-0.04112591,1.492488,-0.03717811,0.1701028,-0.1791957,0.9689963,-0.009704929,1.492136,-0.04275895,10.32291,9.956561,359.3583,0,0,False
1,Right_Dir_Far,2,27.63999,-0.009707417,1.49216,-0.04270861,-0.02236808,1.186441,-0.04037911,0.6216039,-0.02249253,-0.07913628,-0.7789995,0.06796221,1.06616,0.1060144,0.04541937,0.165083,-0.06057697,0.9833693,MathCanvas,0.2808167,1.204813,1.623742,-0.009704929,1.492136,-0.04275895,0.1701028,-0.1791957,0.9689963,0.02171498,1.491813,-0.04828179,0.1698974,-0.1790586,0.9690577,-0.04112982,1.492507,-0.03713544,0.1698974,-0.1790586,0.9690577,-0.009707417,1.49216,-0.04270861,10.31493,9.944163,359.3667,0,0,False
1,Right_Dir_Far,3,27.65999,-0.009703763,1.492226,-0.04264557,-0.02238144,1.186527,-0.04024255,0.6213949,-0.02250571,-0.07907484,-0.7791721,0.0682863,1.065455,0.1069078,0.04984519,0.1703137,-0.05678836,0.9824886,MathCanvas,0.2808167,1.204813,1.623742,-0.009706143,1.492195,-0.04265377,0.1698292,-0.1789384,0.9690919,0.02171986,1.491882,-0.04821205,0.1697198,-0.1788044,0.9691358,-0.04112739,1.492569,-0.0370791,0.1697198,-0.1788044,0.9691358,-0.009703763,1.492226,-0.04264557,10.30013,9.933187,359.3728,0,0,False
1,Right_Dir_Far,4,27.67999,-0.00971264,1.492275,-0.04268996,-0.0223617,1.186528,-0.04014229,0.6213289,-0.022592,-0.07901412,-0.7792284,0.06855851,1.064867,0.1076448,0.05252394,0.1722542,-0.05345413,0.9821978,MathCanvas,0.2808167,1.204813,1.623742,-0.009703763,1.492226,-0.04264557,0.1697198,-0.1788044,0.9691358,0.02171015,1.49192,-0.04826047,0.1697774,-0.178964,0.9690962,-0.04113543,1.492629,-0.03711945,0.1697774,-0.178964,0.9690962,-0.00971264,1.492275,-0.04268996,10.30942,9.936888,359.3528,0,0,False
1,Right_Dir_Far,5,27.69999,-0.009671585,1.492509,-0.04272355,-0.02230187,1.186517,-0.0399155,0.6208752,-0.022992,-0.07878316,-0.7796015,0.06974039,1.063238,0.1087455,0.05929611,0.1787277,-0.05021065,0.9808258,MathCanvas,0.2808167,1.204813,1.623742,-0.009699874,1.492364,-0.04272451,0.1699903,-0.178606,0.969125,0.02174511,1.49213,-0.04832673,0.1707318,-0.1772202,0.969249,-0.04108828,1.492887,-0.03712037,0.1707318,-0.1772202,0.969249,-0.009671585,1.492509,-0.04272355,10.20789,9.990083,359.3099,0,0,False
1,Right_Dir_Far,6,27.71999,-0.00960926,1.492704,-0.0426885,-0.02225959,1.186494,-0.0397758,0.6203511,-0.02346021,-0.0784838,-0.7800349,0.07054949,1.062467,0.1089849,0.06149611,0.1838893,-0.04939902,0.9797769,MathCanvas,0.2808167,1.204813,1.623742,-0.009671585,1.492509,-0.04272355,0.1707318,-0.1772202,0.969249,0.02180383,1.492314,-0.04831112,0.1713492,-0.1753997,0.9694712,-0.04102235,1.493094,-0.03706588,0.1713492,-0.1753997,0.9694712,-0.00960926,1.492704,-0.0426885,10.10192,10.02323,359.2893,0,0,False
1,Right_Dir_Far,7,27.73999,-0.009402059,1.492947,-0.04251516,-0.02228659,1.186432,-0.03953433,0.619706,-0.0233963,-0.07830288,-0.7805676,0.07146505,1.061581,0.1091684,0.06336436,0.1852941,-0.04814849,0.9794554,MathCanvas,0.2808167,1.204813,1.623742,-0.009520217,1.492857,-0.04260811,0.1720548,-0.1742528,0.9695531,0.02200287,1.49255,-0.04818262,0.1727805,-0.173374,0.9695815,-0.04080699,1.493344,-0.0368477,0.1727805,-0.173374,0.9695815,-0.009402059,1.492947,-0.04251516,9.984046,10.10411,359.2755,0,0,False
1,Right_Dir_Far,8,27.75999,-0.009308551,1.493006,-0.04243245,-0.02231307,1.186423,-0.03942202,0.6194257,-0.0232637,-0.07829906,-0.7807944,0.07178587,1.061204,0.1092808,0.06444336,0.1884453,-0.04713166,0.978833,MathCanvas,0.3626855,1.116106,2.054251,-0.009402059,1.492947,-0.04251516,0.1727805,-0.173374,0.9695815,0.02209416,1.492611,-0.04811238,0.1732112,-0.1726183,0.9696395,-0.04071126,1.493401,-0.03675252,0.1732112,-0.1726183,0.9696395,-0.009308551,1.493006,-0.04243245,9.940089,10.12818,359.2801,0,0,False
1,Right_Dir_Far,9,27.77999,-0.009249222,1.493075,-0.04229819,-0.02237071,1.186474,-0.039321,0.6191164,-0.02285678,-0.07837358,-0.7810442,0.07234697,1.061181,0.109197,0.06289777,0.1961923,-0.04301979,0.9776,MathCanvas,0.4080276,1.074237,2.299507,-0.009276718,1.493066,-0.04237013,0.1739745,-0.1726433,0.9694984,0.02214954,1.492682,-0.04800007,0.1738935,-0.1727511,0.9694937,-0.04064798,1.493468,-0.03659631,0.1738935,-0.1727511,0.9694937,-0.009249222,1.493075,-0.04229819,9.947815,10.16874,359.2836,0,0,False
