UID,Condition,Index,Time,Player_X,Player_Y,Player_Z,Left_X,Left_Y,Left_Z,LeftRot_X,LeftRot_Y,LeftRot_Z,LeftRot_W,Right_X,Right_Y,Right_Z,RightRot_X,RightRot_Y,RightRot_Z,RightRot_W,GazeObject,GP_X,GP_Y,GP_Z,GO_X,GO_Y,GO_Z,GZ_X,GZ_Y,GZ_Z,RE_X,RE_Y,RE_Z,RED_X,RED_Y,RED_Z,LE_X,LE_Y,LE_Z,LED_X,LED_Y,LED_Z,H_X,H_Y,H_Z,HR_X,HR_Y,HR_Z,Blinking,BlinkCount,EventTriggered
1,Right_Head_Close,0,20.95999,0.1046215,1.541023,0.1466558,0.1173,1.250796,0.1527609,-0.5206354,0.2699895,0.2220713,0.778928,0.2600724,1.110755,0.1952022,-0.086364,0.3936842,-0.1329545,0.9054707,MathCanvas,2.180079,1.193957,2.759173,0.1043963,1.541007,0.1466869,0.8177228,-0.1574704,0.5536538,0.1305981,1.542942,0.1259378,0.8023019,-0.160271,0.5749999,0.07864496,1.539104,0.1673737,0.8319938,-0.1547266,0.5327721,0.1046215,1.541023,0.1466558,356.03,38.34491,3.312754,0,0,False
1,Right_Head_Close,1,20.97999,0.1051544,1.540988,0.1465159,0.1175433,1.250771,0.1526472,-0.5207337,0.2698295,0.2216993,0.7790237,0.2599067,1.111007,0.1953892,-0.08491737,0.3886578,-0.135949,0.9073324,MathCanvas,2.180079,1.193957,2.759173,0.1048423,1.541045,0.1466278,0.8170594,-0.1576584,0.554579,0.131141,1.542879,0.1258079,0.8019096,-0.1611214,0.5753095,0.07916788,1.539097,0.1672238,0.8316235,-0.1556092,0.5330932,0.1051544,1.540988,0.1465159,356.0674,38.32628,3.264097,0,0,False
1,Right_Head_Close,2,20.99999,0.105523,1.540957,0.1463767,0.1177595,1.25073,0.1525224,-0.5209395,0.2696769,0.2213278,0.7790446,0.2595668,1.111142,0.1959011,-0.08181132,0.3870477,-0.1301067,0.9091607,MathCanvas,2.180079,1.193957,2.759173,0.1051544,1.540988,0.1465159,0.8082077,-0.1518422,0.5689853,0.1315103,1.54284,0.1256689,0.7925868,-0.1551553,0.5896889,0.07953576,1.539075,0.1670845,0.8231217,-0.1498747,0.5477303,0.105523,1.540957,0.1463767,356.1041,38.32825,3.250533,0,0,False
1,Right_Head_Close,3,21.01999,0.1061345,1.540964,0.1461557,0.117961,1.250677,0.1523576,-0.5211407,0.2695383,0.2209702,0.7790595,0.2596212,1.111189,0.1961285,-0.08131421,0.3880003,-0.1268201,0.9092637,MathCanvas,2.180079,1.193957,2.759173,0.1058673,1.54097,0.1462532,0.8081021,-0.151175,0.5693129,0.1321274,1.542821,0.1254526,0.7923994,-0.1538524,0.5902818,0.08014171,1.539107,0.1668589,0.8229505,-0.1486337,0.5483251,0.1061345,1.540964,0.1461557,356.1075,38.31929,3.2054,0,0,False
1,Right_Head_Close,4,21.03999,0.1063926,1.540963,0.1460741,0.117961,1.250677,0.1523576,-0.5211407,0.2695383,0.2209702,0.7790595,0.2596212,1.111189,0.1961285,-0.08131421,0.3880003,-0.1268201,0.9092637,MathCanvas,2.180079,1.193957,2.759173,0.1061345,1.540964,0.1461557,0.8079503,-0.1512436,0.5695101,0.1323902,1.542807,0.1253759,0.7922264,-0.1540758,0.5904558,0.08039497,1.539118,0.1667723,0.8227878,-0.1488731,0.5485046,0.1063926,1.540963,0.1460741,356.1154,38.30937,3.184785,0,0,False
1,Right_Head_Close,5,21.05999,0.1066515,1.540954,0.1459827,0.117961,1.250677,0.1523576,-0.5211407,0.2695383,0.2209702,0.7790595,0.2596726,1.111181,0.1961584,-0.08101103,0.3883485,-0.1265778,0.9091759,MathCanvas,2.180079,1.193957,2.759173,0.1063926,1.540963,0.1460741,0.8078635,-0.1514429,0.5695803,0.1326501,1.542782,0.1252842,0.7922415,-0.1542194,0.590398,0.08065298,1.539125,0.1666812,0.822799,-0.1490465,0.5484405,0.1066515,1.540954,0.1459827,356.1186,38.31081,3.156706,0,0,False
1,Right_Head_Close,6,21.07999,0.1070834,1.540844,0.1454962,0.118311,1.250506,0.1517768,-0.5213392,0.2695901,0.2205655,0.7790234,0.2605092,1.111167,0.1960785,-0.07998446,0.3929475,-0.1257464,0.9074044,MathCanvas,2.180079,1.193957,2.759173,0.1068686,1.540846,0.1456712,0.8080672,-0.1555605,0.5681798,0.1330548,1.542642,0.124761,0.7926799,-0.1585637,0.5886562,0.08111198,1.539047,0.1662315,0.8231849,-0.1533713,0.5466661,0.1070834,1.540844,0.1454962,356.1722,38.39604,3.102764,0,0,False
1,Right_Head_Close,7,21.09999,0.1073027,1.540855,0.1453477,0.1183415,1.250496,0.1517284,-0.5213544,0.2696247,0.2205344,0.7790101,0.2605344,1.111181,0.1960156,-0.08011577,0.3932127,-0.1254862,0.9073139,MathCanvas,2.180079,1.193957,2.759173,0.1070834,1.540844,0.1454962,0.8082325,-0.155903,0.5678508,0.1332701,1.542638,0.1246063,0.7927692,-0.1587645,0.5884817,0.08133519,1.539072,0.1660891,0.8232653,-0.1535951,0.5464821,0.1073027,1.540855,0.1453477,356.1815,38.41082,3.07757,0,0,False
1,Right_Head_Close,8,21.11999,0.1077994,1.540849,0.1450067,0.1185828,1.250395,0.1512314,-0.5214019,0.269621,0.2202554,0.7790585,0.2609044,1.11104,0.1961016,-0.07809485,0.3933237,-0.1231806,0.9077578,MathCanvas,2.180079,1.193957,2.759173,0.1075147,1.540835,0.1452025,0.8083213,-0.1563904,0.5675904,0.1337576,1.542624,0.1242531,0.7930397,-0.1581124,0.5882928,0.08184112,1.539075,0.1657604,0.8235184,-0.1529634,0.5462779,0.1077994,1.540849,0.1450067,356.1345,38.43572,3.063417,0,0,False
1,Right_Head_Close,9,21.13999,0.1079775,1.54084,0.1448292,0.1186569,1.250344,0.1509871,-0.5214865,0.2697233,0.2202535,0.778967,0.2612512,1.110924,0.1960461,-0.07741747,0.3937176,-0.1242218,0.9075032,MathCanvas,2.180079,1.193957,2.759173,0.1077994,1.540849,0.1450067,0.8100703,-0.1552816,0.565397,0.1339363,1.542609,0.1240756,0.7945929,-0.157881,0.5862558,0.08201877,1.539072,0.1655828,0.8249408,-0.1527246,0.5441947,0.1079775,1.54084,0.1448292,356.1326,38.43564,3.052578,0,0,False
