UID,Condition,Index,Time,Player_X,Player_Y,Player_Z,Left_X,Left_Y,Left_Z,LeftRot_X,LeftRot_Y,LeftRot_Z,LeftRot_W,Right_X,Right_Y,Right_Z,RightRot_X,RightRot_Y,RightRot_Z,RightRot_W,GazeObject,GP_X,GP_Y,GP_Z,GO_X,GO_Y,GO_Z,GZ_X,GZ_Y,GZ_Z,RE_X,RE_Y,RE_Z,RED_X,RED_Y,RED_Z,LE_X,LE_Y,LE_Z,LED_X,LED_Y,LED_Z,H_X,H_Y,H_Z,HR_X,HR_Y,HR_Z,Blinking,BlinkCount,EventTriggered
2,Center_Dir_Far,0,48.13998,-0.0102265,1.004638,0.04851086,-0.07818183,0.7627574,0.1906021,0.2277274,0.07781208,-0.05498079,-0.9690525,0.2802465,0.7120968,0.2347177,0.002532363,0.1727287,-0.1412112,0.9747912,MathCanvas,0.0939081,1.125457,1.608883,-0.01020364,1.004662,0.04850219,0.05959541,-0.5259299,0.8484375,0.02155442,1.003761,0.04572671,0.05979142,-0.5261747,0.8482719,-0.04200743,1.005515,0.05129501,0.05979142,-0.5261747,0.8482719,-0.0102265,1.004638,0.04851086,31.74735,4.03189,358.148,0,11,False
2,Center_Dir_Far,1,48.15998,-0.01025349,1.004655,0.04856744,-0.07814811,0.7627386,0.1905657,0.2279736,0.07787003,-0.05487926,-0.9689957,0.2793114,0.7110833,0.2354183,0.0104109,0.1665015,-0.1412475,0.9758166,MathCanvas,0.0939081,1.125457,1.608883,-0.0102265,1.004638,0.04851086,0.05979142,-0.5261747,0.8482719,0.02152799,1.00379,0.04578578,0.05992227,-0.5261792,0.8482598,-0.04203496,1.00552,0.0513491,0.05992227,-0.5261792,0.8482598,-0.01025349,1.004655,0.04856744,31.74766,4.040742,358.1735,0,11,False
2,Center_Dir_Far,2,48.17998,-0.01023562,1.004676,0.04873585,-0.07815508,0.7627687,0.1905473,0.2283119,0.07861588,-0.05495257,-0.9688516,0.2794328,0.7101895,0.2378482,0.01686353,0.1866527,-0.1205201,0.9748597,MathCanvas,0.0939081,1.125457,1.608883,-0.01026405,1.004663,0.04864105,0.06014572,-0.5256231,0.8485887,0.02154623,1.003826,0.04595385,0.06025873,-0.5251755,0.8488578,-0.04201746,1.005526,0.05151785,0.06025873,-0.5251755,0.8488578,-0.01023562,1.004676,0.04873585,31.68006,4.060502,358.2066,0,11,False
2,Center_Dir_Far,3,48.19998,-0.0102599,1.0046,0.04877937,-0.07824646,0.762831,0.190553,0.2281287,0.07882273,-0.05539862,-0.9688526,0.2818571,0.7093914,0.2405476,0.02629384,0.2160235,-0.09869225,0.9710316,MathCanvas,0.0939081,1.125457,1.608883,-0.01023564,1.004663,0.04878495,0.06028119,-0.525156,0.8488683,0.02152288,1.003752,0.04600731,0.06000425,-0.5254841,0.8486848,-0.04204267,1.005448,0.05155143,0.06000425,-0.5254841,0.8486848,-0.0102599,1.0046,0.04877937,31.70084,4.044233,358.2108,0,11,False
2,Center_Dir_Far,4,48.21998,-0.01031723,1.004547,0.04874767,-0.07824597,0.762841,0.1906301,0.2279119,0.0786128,-0.055416,-0.9689196,0.2831977,0.7093779,0.2399374,0.02257833,0.2338547,-0.09436715,0.9674177,MathCanvas,0.06017032,0.391028,1.040564,-0.0102599,1.0046,0.04877937,0.06000425,-0.5254841,0.8486848,0.02146504,1.00369,0.0459723,0.05992914,-0.525822,0.8484808,-0.04209949,1.005403,0.05152305,0.05992914,-0.525822,0.8484808,-0.01031723,1.004547,0.04874767,31.7236,4.040155,358.1927,0,11,False
2,Center_Dir_Far,5,48.23998,-0.01036445,1.004509,0.04871422,-0.078241,0.7628337,0.1906962,0.2278582,0.07867923,-0.05537809,-0.9689291,0.2845137,0.7089756,0.2400867,0.01991773,0.2304671,-0.1123322,0.9663693,MathCanvas,0.08703394,0.1519985,1.425658,-0.01031723,1.004547,0.04874767,0.05992914,-0.5258219,0.8484809,0.02141689,1.003638,0.04593286,0.05982826,-0.5260681,0.8483354,-0.04214579,1.005379,0.05149559,0.05982826,-0.5260681,0.8483354,-0.01036445,1.004509,0.04871422,31.74018,4.034065,358.1614,0,11,False
2,Center_Dir_Far,6,48.25998,-0.01042486,1.00449,0.04869182,-0.07837973,0.7627953,0.1907954,0.2274704,0.07943265,-0.05569444,-0.9689406,0.2855003,0.7090502,0.2403855,0.02739,0.1965146,-0.1327368,0.9710885,MathCanvas,0.09932773,0.04206285,1.601744,-0.01038985,1.004501,0.04869298,0.05985846,-0.5260088,0.84837,0.02135553,1.003615,0.04590105,0.06002134,-0.5258985,0.8484269,-0.04220526,1.005365,0.05148259,0.06002134,-0.5258985,0.8484269,-0.01042486,1.00449,0.04869182,31.72875,4.046606,358.1524,0,11,False
2,Center_Dir_Far,7,48.27998,-0.01038355,1.004465,0.04868066,-0.0783672,0.7627563,0.1908005,0.2272962,0.07946675,-0.05561816,-0.9689831,0.2857373,0.7096202,0.2393679,0.01144123,0.1675098,-0.1588149,0.9729272,MathCanvas,0.09932773,0.04206285,1.601744,-0.01042486,1.00449,0.04869182,0.06002135,-0.5258986,0.8484269,0.02139659,1.003585,0.04588847,0.05999699,-0.5257332,0.848531,-0.04216369,1.005344,0.05147285,0.05999699,-0.5257332,0.848531,-0.01038355,1.004465,0.04868066,31.71762,4.044476,358.1429,0,11,False
2,Center_Dir_Far,8,48.29998,-0.01035339,1.004382,0.04864139,-0.07823717,0.7626716,0.1907755,0.2271249,0.07922574,-0.05494034,-0.9690816,0.280737,0.7133261,0.2332429,-0.02833119,0.1362386,-0.1536012,0.9782858,MathCanvas,0.09932773,0.04206285,1.601744,-0.01035565,1.004427,0.04866766,0.06008097,-0.5258792,0.8484346,0.02142688,1.003506,0.04584939,0.06000978,-0.5263035,0.8481765,-0.04213366,1.005257,0.05143339,0.06000978,-0.5263035,0.8481765,-0.01035339,1.004382,0.04864139,31.75604,4.04702,358.1504,0,11,False
2,Center_Dir_Far,9,48.31998,-0.01039602,1.004368,0.04861489,-0.07822879,0.7626642,0.190733,0.2271995,0.07941514,-0.05487281,-0.9690524,0.2791734,0.7126086,0.2328317,-0.02197182,0.1424874,-0.1503658,0.9780617,MathCanvas,0.09932773,0.04206285,1.601744,-0.01035339,1.004382,0.04864139,0.06000978,-0.5263035,0.8481765,0.02138485,1.003496,0.04582834,0.05990656,-0.5267267,0.8479211,-0.04217689,1.005239,0.05140145,0.05990656,-0.5267267,0.8479211,-0.01039602,1.004368,0.04861489,31.78456,4.041295,358.1597,0,11,False
2,Center_Dir_Far,10,48.33998,-0.01047628,1.004417,0.04870008,-0.0782276,0.7626927,0.1906592,0.2271547,0.07952745,-0.05493037,-0.9690505,0.2778062,0.7104479,0.2342762,0.001137346,0.1510118,-0.1432889,0.9780912,MathCanvas,0.09932773,0.04206285,1.601744,-0.01043283,1.004388,0.04863602,0.05957294,-0.5267215,0.8479479,0.02130739,1.003553,0.04594319,0.05928385,-0.5262475,0.8482624,-0.04225996,1.00528,0.05145697,0.05928385,-0.5262475,0.8482624,-0.01047628,1.004417,0.04870008,31.75226,3.99782,358.1771,0,11,False
2,Center_Dir_Far,11,48.35998,-0.01051412,1.004435,0.04880015,-0.07826247,0.7627381,0.1906204,0.227083,0.07925461,-0.05534012,-0.9690663,0.2760679,0.7107592,0.2345288,0.006342799,0.1526571,-0.1376044,0.978632,MathCanvas,0.09932773,0.04206285,1.601744,-0.01047628,1.004417,0.04870008,0.05928385,-0.5262475,0.8482624,0.02127266,1.003572,0.04607894,0.05843463,-0.5251572,0.8489966,-0.04230089,1.005297,0.05152137,0.05843463,-0.5251572,0.8489966,-0.01051412,1.004435,0.04880015,31.67883,3.937336,358.1805,0,11,False
2,Center_Dir_Far,12,48.37998,-0.01052309,1.004401,0.048948,-0.0783249,0.7628725,0.1905261,0.2276369,0.07955746,-0.05581806,-0.9688841,0.2739479,0.7122536,0.2360882,0.01095614,0.1607907,-0.1167213,0.9800013,MathCanvas,0.09932773,0.04206285,1.601744,-0.01052986,1.004426,0.04888022,0.05787658,-0.5249552,0.8491598,0.02126445,1.003509,0.04624515,0.05744848,-0.525328,0.8489583,-0.04231062,1.005293,0.05165084,0.05744848,-0.525328,0.8489583,-0.01052309,1.004401,0.048948,31.69033,3.871268,358.1182,0,11,False
2,Center_Dir_Far,13,48.39998,-0.01050549,1.004346,0.04896473,-0.07830838,0.762934,0.1904945,0.2277624,0.07944854,-0.05581297,-0.9688638,0.2745258,0.7119862,0.2377571,0.02103421,0.1723219,-0.1011933,0.9796033,MathCanvas,0.09932773,0.04206285,1.601744,-0.01052309,1.004401,0.048948,0.05744848,-0.5253281,0.8489583,0.02128295,1.003445,0.0462754,0.05690354,-0.5259054,0.8486375,-0.04229394,1.005246,0.05165406,0.05690354,-0.5259054,0.8486375,-0.01050549,1.004346,0.04896473,31.72921,3.836101,358.0997,0,11,False
2,Center_Dir_Far,14,48.41998,-0.01052924,1.004289,0.0489099,-0.07828157,0.7629443,0.1905142,0.2277959,0.07935134,-0.05580607,-0.9688643,0.2752819,0.7118725,0.2376193,0.02516279,0.1836863,-0.1015572,0.9774008,MathCanvas,0.09932773,0.04206285,1.601744,-0.01050549,1.004346,0.04896473,0.05690354,-0.5259055,0.8486374,0.02125812,1.00338,0.04621095,0.05698965,-0.5260839,0.848521,-0.0423166,1.005199,0.05160884,0.05698965,-0.5260839,0.848521,-0.01052924,1.004289,0.0489099,31.74124,3.842415,358.0793,0,11,False
2,Center_Dir_Far,15,48.43998,-0.01051196,1.004267,0.0488349,-0.07819787,0.7627965,0.1906628,0.2276436,0.07919063,-0.05579419,-0.968914,0.2760518,0.7114918,0.2387458,0.03031826,0.1718397,-0.1307542,0.9759381,MathCanvas,0.09932773,0.04206285,1.601744,-0.01052264,1.004256,0.04886168,0.05656412,-0.5261393,0.8485152,0.0212727,1.003314,0.04611917,0.05672058,-0.5261681,0.8484868,-0.04229662,1.00522,0.05155063,0.05672058,-0.5261681,0.8484868,-0.01051196,1.004267,0.0488349,31.74691,3.824481,357.9877,0,11,False
