UID,Condition,Index,Time,Player_X,Player_Y,Player_Z,Left_X,Left_Y,Left_Z,LeftRot_X,LeftRot_Y,LeftRot_Z,LeftRot_W,Right_X,Right_Y,Right_Z,RightRot_X,RightRot_Y,RightRot_Z,RightRot_W,GazeObject,GP_X,GP_Y,GP_Z,GO_X,GO_Y,GO_Z,GZ_X,GZ_Y,GZ_Z,RE_X,RE_Y,RE_Z,RED_X,RED_Y,RED_Z,LE_X,LE_Y,LE_Z,LED_X,LED_Y,LED_Z,H_X,H_Y,H_Z,HR_X,HR_Y,HR_Z,Blinking,BlinkCount,EventTriggered
2,Center_Head_Close,0,37.07999,-0.08964609,1.527153,-0.1713801,-0.08901419,1.202951,-0.1438393,-0.527109,0.2626991,0.2159611,0.778785,0.1365428,0.7802525,-0.2319145,0.4062005,0.5126382,-0.1243017,0.7461584,MathCanvas,2.883643,1.24427,1.606574,-0.0895422,1.527066,-0.1711964,0.8098842,-0.112915,0.5756196,-0.0637337,1.528313,-0.1922343,0.7941597,-0.1137675,0.5969651,-0.1155585,1.525993,-0.150526,0.8246753,-0.1102687,0.5547534,-0.08964609,1.527153,-0.1713801,356.5372,38.70604,2.00132,0,12,False
2,Center_Head_Close,1,37.09999,-0.08970871,1.527205,-0.1715838,-0.08901419,1.202951,-0.1438393,-0.527109,0.2626991,0.2159611,0.778785,0.1365428,0.7802525,-0.2319145,0.4062005,0.5126382,-0.1243017,0.7461584,MathCanvas,2.883643,1.24427,1.606574,-0.08964609,1.527153,-0.1713801,0.8080368,-0.1120115,0.5783856,-0.06379168,1.528354,-0.1924328,0.7923135,-0.1131434,0.5995315,-0.1156257,1.526055,-0.1507348,0.8229823,-0.1096872,0.5573769,-0.08970871,1.527205,-0.1715838,356.4963,38.69381,1.982943,0,12,False
2,Center_Head_Close,2,37.11999,-0.08991228,1.52745,-0.1718888,-0.08894616,1.20304,-0.1439892,-0.5277517,0.2626365,0.2160262,0.7783527,0.1359965,0.7802885,-0.2310523,0.4050772,0.5089087,-0.126298,0.7489815,MathCanvas,2.883643,1.24427,1.606574,-0.08977901,1.527255,-0.171778,0.8079379,-0.1107176,0.5787729,-0.06399649,1.528584,-0.1927402,0.792428,-0.1111612,0.5997509,-0.1158281,1.526316,-0.1510374,0.823093,-0.1077583,0.5575895,-0.08991228,1.52745,-0.1718888,356.3717,38.69572,1.956279,0,12,False
2,Center_Head_Close,3,37.13999,-0.08999688,1.527507,-0.1720449,-0.08892362,1.203059,-0.1440125,-0.5279307,0.2625319,0.2160295,0.7782657,0.1359396,0.7802376,-0.2309532,0.4055313,0.5086558,-0.1258842,0.7489771,MathCanvas,2.883643,1.24427,1.606574,-0.08991228,1.52745,-0.1718888,0.8077939,-0.1124452,0.5786409,-0.06407975,1.528646,-0.1928944,0.7921817,-0.113551,0.5996284,-0.115914,1.526368,-0.1511954,0.8228587,-0.110107,0.5574763,-0.08999688,1.527507,-0.1720449,356.3373,38.68993,1.965136,0,12,False
2,Center_Head_Close,4,37.15999,-0.09014951,1.527633,-0.1723468,-0.08896259,1.203062,-0.1440538,-0.5282658,0.2623504,0.2161009,0.7780797,0.1359547,0.7801567,-0.2308991,0.4062115,0.508786,-0.1249451,0.7486774,MathCanvas,2.883643,1.24427,1.606574,-0.09007441,1.527575,-0.1721905,0.8108101,-0.1225546,0.5723351,-0.06424034,1.528778,-0.1932058,0.7954457,-0.1236092,0.5932847,-0.1160587,1.526488,-0.1514877,0.8258151,-0.1199759,0.5510309,-0.09014951,1.527633,-0.1723468,356.2528,38.70776,1.975793,0,12,False
2,Center_Head_Close,5,37.17999,-0.09022748,1.527692,-0.1725047,-0.08896259,1.203062,-0.1440538,-0.5282658,0.2623504,0.2161009,0.7780797,0.1359547,0.7801567,-0.2308991,0.4062115,0.508786,-0.1249451,0.7486774,MathCanvas,2.883643,1.24427,1.606574,-0.09014951,1.527633,-0.1723468,0.8109071,-0.1217927,0.5723602,-0.06431936,1.528834,-0.1933653,0.7955124,-0.1228856,0.5933456,-0.1161356,1.526551,-0.1516442,0.8258792,-0.1192687,0.5510885,-0.09022748,1.527692,-0.1725047,356.208,38.70979,1.969563,0,12,False
2,Center_Head_Close,6,37.19999,-0.09043849,1.527735,-0.1726356,-0.08891732,1.20321,-0.1440278,-0.528609,0.2624171,0.2162311,0.7777879,0.1362274,0.7800315,-0.2307,0.4076835,0.5102588,-0.1222728,0.7473149,MathCanvas,2.883643,1.24427,1.606574,-0.09033872,1.527695,-0.1725402,0.8739705,-0.1702553,0.4551798,-0.06452812,1.528893,-0.1934925,0.8619146,-0.1724601,0.4768235,-0.1163489,1.526577,-0.1517788,0.8856456,-0.1669976,0.433294,-0.09043849,1.527735,-0.1726356,356.1626,38.69894,1.997861,0,12,False
2,Center_Head_Close,7,37.21999,-0.09051409,1.527784,-0.172704,-0.08891448,1.203242,-0.1440087,-0.5287517,0.2624489,0.2162695,0.7776694,0.1363274,0.7801054,-0.2306358,0.4076893,0.5112993,-0.1211,0.7467914,MathCanvas,1.099669,1.295894,0.4471943,-0.09043849,1.527735,-0.1726356,0.8901849,-0.1848246,0.416426,-0.06459779,1.528941,-0.1935535,0.8790278,-0.1873724,0.4384082,-0.1164304,1.526628,-0.1518545,0.9006765,-0.1812466,0.3948816,-0.09051409,1.527784,-0.172704,356.1282,38.68165,1.995906,0,12,False
2,Center_Head_Close,8,37.23999,-0.09059665,1.527833,-0.172803,-0.08891448,1.203242,-0.1440087,-0.5287517,0.2624489,0.2162695,0.7776694,0.1363274,0.7801054,-0.2306358,0.4076893,0.5112993,-0.1211,0.7467914,MathCanvas,1.254149,1.248599,0.4563257,-0.09051409,1.527784,-0.172704,0.8901786,-0.1843133,0.4166663,-0.06467882,1.528991,-0.1936506,0.8791236,-0.1868144,0.4384543,-0.1165145,1.526675,-0.1519555,0.9007688,-0.180692,0.3949254,-0.09059665,1.527833,-0.172803,356.0935,38.67592,1.999264,0,12,False
2,Center_Head_Close,9,37.25999,-0.09073476,1.527784,-0.1727777,-0.0888546,1.203319,-0.1440052,-0.5293632,0.2627255,0.2164155,0.7771192,0.1366751,0.780036,-0.2306651,0.4082229,0.514649,-0.1186817,0.7445838,MathCanvas,1.286986,1.242602,0.4720024,-0.09066436,1.527829,-0.1727801,0.8911831,-0.1863145,0.4136177,-0.06481165,1.528902,-0.1936208,0.8800392,-0.1899125,0.4352748,-0.1166579,1.526666,-0.1519345,0.9015309,-0.1837551,0.3917602,-0.09073476,1.527784,-0.1727777,356.0977,38.66923,1.929372,0,12,False
2,Center_Head_Close,10,37.27999,-0.09080485,1.527768,-0.172828,-0.08882494,1.203343,-0.144009,-0.5293859,0.2627946,0.2164194,0.7770793,0.1367475,0.7799982,-0.2306682,0.4082602,0.5145221,-0.119449,0.7445285,MathCanvas,1.318665,1.233129,0.481356,-0.09073476,1.527784,-0.1727777,0.891055,-0.1868347,0.413659,-0.0648835,1.528884,-0.1936735,0.8800723,-0.1899071,0.4352103,-0.1167262,1.526652,-0.1519826,0.9015604,-0.1837527,0.3916935,-0.09080485,1.527768,-0.172828,356.0959,38.67439,1.926226,0,12,False
2,Center_Head_Close,11,37.29999,-0.09093566,1.52772,-0.1729626,-0.0888412,1.203346,-0.1439736,-0.529389,0.2628377,0.2164435,0.7770559,0.1369132,0.7799301,-0.2306891,0.4086783,0.5150106,-0.1192987,0.7439852,MathCanvas,1.358486,1.223884,0.4999834,-0.09087256,1.527738,-0.17291,0.8914906,-0.1875458,0.4123967,-0.06501319,1.528837,-0.1938066,0.8804607,-0.1906704,0.4340896,-0.1168581,1.526603,-0.1521186,0.9018939,-0.1844857,0.3905797,-0.09093566,1.52772,-0.1729626,356.1123,38.67171,1.92749,0,12,False
2,Center_Head_Close,12,37.31999,-0.09101749,1.527699,-0.1730119,-0.0888412,1.203346,-0.1439736,-0.529389,0.2628377,0.2164435,0.7770559,0.1369132,0.7799301,-0.2306891,0.4086783,0.5150106,-0.1192987,0.7439852,MathCanvas,1.376513,1.219008,0.5058674,-0.09093566,1.52772,-0.1729626,0.8914664,-0.1875446,0.4124497,-0.06509958,1.528812,-0.1938617,0.8805617,-0.1906874,0.4338772,-0.1169354,1.526585,-0.152162,0.9019839,-0.1845086,0.3903609,-0.09101749,1.527699,-0.1730119,356.1131,38.6849,1.921921,0,12,False
2,Center_Head_Close,13,37.33998,-0.09106207,1.52765,-0.1730594,-0.08894594,1.203437,-0.1437504,-0.5299029,0.2627312,0.2167415,0.7766585,0.1377506,0.7798584,-0.2308475,0.4086871,0.5181567,-0.1197147,0.7417256,MathCanvas,1.376513,1.219008,0.5058674,-0.09103342,1.527638,-0.1730555,0.8915592,-0.1876184,0.4122153,-0.06518012,1.528728,-0.1939557,0.8807725,-0.1905154,0.4335247,-0.116944,1.526572,-0.152163,0.9021769,-0.1844075,0.3899623,-0.09106207,1.52765,-0.1730594,356.1052,38.79005,1.860227,0,12,False
2,Center_Head_Close,14,37.35999,-0.09111513,1.52764,-0.1730784,-0.08894594,1.203437,-0.1437504,-0.5299029,0.2627312,0.2167415,0.7766585,0.1377506,0.7798584,-0.2308475,0.4086871,0.5181567,-0.1197147,0.7417256,MathCanvas,1.376513,1.219008,0.5058674,-0.09106207,1.52765,-0.1730594,0.8929644,-0.18899,0.4085308,-0.06524523,1.52871,-0.1939901,0.8823149,-0.1920028,0.4297153,-0.116985,1.52657,-0.1521667,0.9035211,-0.1858438,0.3861501,-0.09111513,1.52764,-0.1730784,356.0938,38.82422,1.845947,0,12,False
2,Center_Head_Close,15,37.37999,-0.09115748,1.527636,-0.1731002,-0.08896203,1.203439,-0.1437332,-0.5299799,0.2626927,0.2167677,0.7766116,0.1377304,0.7798643,-0.2308182,0.4086524,0.5180011,-0.1197854,0.7418419,MathCanvas,1.376513,1.219008,0.5058674,-0.09111513,1.52764,-0.1730784,0.8931881,-0.1889243,0.4080721,-0.06529645,1.528696,-0.1940234,0.8824776,-0.1919711,0.4293951,-0.1170185,1.526576,-0.1521771,0.9036657,-0.185828,0.385819,-0.09115748,1.527636,-0.1731002,356.0841,38.84997,1.829681,0,12,False
2,Center_Head_Close,16,37.39999,-0.09118151,1.527632,-0.1729996,-0.08893588,1.203509,-0.1434314,-0.5304176,0.2626707,0.2168963,0.7762843,0.1374134,0.7799793,-0.2302382,0.4083109,0.5167524,-0.1190267,0.7430221,MathCanvas,1.376513,1.219008,0.5058674,-0.09113882,1.527663,-0.1730311,0.8934374,-0.188295,0.407817,-0.0653301,1.528694,-0.1939346,0.882701,-0.1915587,0.4291204,-0.1170329,1.526569,-0.1520647,0.9038711,-0.1854221,0.3855332,-0.09118151,1.527632,-0.1729996,356.0617,38.87517,1.833568,0,12,False
2,Center_Head_Close,17,37.41999,-0.09122821,1.52762,-0.1729448,-0.08890738,1.203547,-0.1433212,-0.5304329,0.2626581,0.2169071,0.776275,0.1372766,0.7800673,-0.2299271,0.4081728,0.5161231,-0.1184368,0.7436294,MathCanvas,1.376513,1.219008,0.5058674,-0.09118151,1.527632,-0.1729996,0.8940499,-0.1856596,0.4076829,-0.0653777,1.528674,-0.1938812,0.883229,-0.1885127,0.4293827,-0.1170787,1.526566,-0.1520084,0.9043693,-0.1824563,0.3857796,-0.09122821,1.52762,-0.1729448,356.0434,38.87857,1.819504,0,12,False
