UID,Condition,Index,Time,Player_X,Player_Y,Player_Z,Left_X,Left_Y,Left_Z,LeftRot_X,LeftRot_Y,LeftRot_Z,LeftRot_W,Right_X,Right_Y,Right_Z,RightRot_X,RightRot_Y,RightRot_Z,RightRot_W,GazeObject,GP_X,GP_Y,GP_Z,GO_X,GO_Y,GO_Z,GZ_X,GZ_Y,GZ_Z,RE_X,RE_Y,RE_Z,RED_X,RED_Y,RED_Z,LE_X,LE_Y,LE_Z,LED_X,LED_Y,LED_Z,H_X,H_Y,H_Z,HR_X,HR_Y,HR_Z,Blinking,BlinkCount,EventTriggered
2,Right_Head_Far,0,56.79998,-0.008934852,1.084205,-0.00448327,-0.06873064,0.7536653,0.1833408,0.2223221,0.05033888,-0.04790231,-0.9724938,0.2742517,0.708866,0.2353993,0.02145577,0.1497354,-0.1364355,0.9790323,MathCanvas,0.2402124,1.173391,1.748992,-0.008904904,1.084203,-0.004460486,0.122665,0.03393362,0.9918678,0.02273784,1.084253,-0.00840578,0.1227842,0.03410909,0.9918471,-0.04060755,1.084158,-0.0005607582,0.1227842,0.03410909,0.9918471,-0.008934852,1.084205,-0.00448327,358.0453,7.056942,0.08557861,0,14,False
2,Right_Head_Far,1,56.81998,-0.008951247,1.084221,-0.004508352,-0.06874774,0.7536672,0.1833685,0.2223844,0.05039526,-0.04796263,-0.9724737,0.2734041,0.7089198,0.2359681,0.02109408,0.1474756,-0.129103,0.9803767,MathCanvas,0.2402124,1.173391,1.748992,-0.008934852,1.084205,-0.00448327,0.1227842,0.034109,0.9918471,0.02272149,1.084281,-0.008430352,0.1227546,0.03409135,0.9918513,-0.04062398,1.08416,-0.0005863509,0.1227546,0.03409135,0.9918513,-0.008951247,1.084221,-0.004508352,358.0463,7.05523,0.1088808,0,14,False
2,Right_Head_Far,2,56.83998,-0.009012144,1.084318,-0.004569054,-0.06879658,0.7536806,0.1834169,0.2225716,0.05069842,-0.04808816,-0.972409,0.2735545,0.7088701,0.2367523,0.0212225,0.1534106,-0.1233878,0.9801991,MathCanvas,0.2402124,1.173391,1.748992,-0.008982235,1.084256,-0.00453717,0.1228704,0.03441782,0.9918258,0.02266014,1.084391,-0.008494439,0.1228421,0.03486556,0.9918136,-0.04068443,1.084244,-0.0006436682,0.1228421,0.03486556,0.9918136,-0.009012144,1.084318,-0.004569054,358.002,7.060471,0.1318811,0,14,False
2,Right_Head_Far,3,56.85998,-0.009017861,1.084371,-0.004595581,-0.06877615,0.7537196,0.1833864,0.2227622,0.050569,-0.04818323,-0.9723673,0.274492,0.7087736,0.2370659,0.02263144,0.1571507,-0.1259657,0.9792467,MathCanvas,0.2402124,1.173391,1.748992,-0.009012144,1.084318,-0.004569054,0.1228421,0.03486529,0.9918136,0.02265568,1.08445,-0.008510754,0.122509,0.03596753,0.9918154,-0.0406914,1.084292,-0.0006804084,0.122509,0.03596753,0.9918154,-0.009017861,1.084371,-0.004595581,357.9388,7.041504,0.1416462,0,14,False
2,Right_Head_Far,4,56.87998,-0.008992288,1.084505,-0.004657549,-0.06877965,0.7537462,0.1833522,0.222906,0.05020735,-0.04823053,-0.9723507,0.2761686,0.7082577,0.2382358,0.02884445,0.1647509,-0.1269366,0.9777077,MathCanvas,0.2402124,1.173391,1.748992,-0.009010475,1.08444,-0.004626539,0.1225582,0.03639973,0.9917936,0.02268073,1.084574,-0.00857711,0.1226558,0.036311,0.9917848,-0.04066531,1.084437,-0.0007379875,0.1226558,0.036311,0.9917848,-0.008992288,1.084505,-0.004657549,357.9191,7.050075,0.1227244,0,14,False
2,Right_Head_Far,5,56.89998,-0.008986693,1.084526,-0.004690545,-0.06882385,0.7537423,0.183364,0.222896,0.0503543,-0.04832487,-0.9723408,0.2772907,0.7080981,0.238582,0.03105784,0.1713218,-0.1265278,0.9765629,MathCanvas,0.2402124,1.173391,1.748992,-0.008992288,1.084505,-0.004657549,0.1226558,0.0363111,0.9917848,0.02268626,1.08459,-0.008610696,0.122679,0.03630317,0.9917822,-0.04065965,1.084462,-0.0007703933,0.122679,0.03630317,0.9917822,-0.008986693,1.084526,-0.004690545,357.9195,7.05141,0.1153259,0,14,False
2,Right_Head_Far,6,56.91998,-0.008996483,1.084492,-0.004722011,-0.06886429,0.7537419,0.1833971,0.2226197,0.05060989,-0.04850689,-0.9723817,0.2783573,0.7079286,0.2387114,0.0325903,0.1768062,-0.1274957,0.9754088,MathCanvas,0.2402124,1.173391,1.748992,-0.008986693,1.084526,-0.004690545,0.122679,0.036303,0.9917822,0.02267558,1.084539,-0.00864962,0.1229328,0.03613342,0.991757,-0.04066854,1.084445,-0.0007944014,0.1229328,0.03613342,0.991757,-0.008996483,1.084492,-0.004722011,357.9293,7.06603,0.08447394,0,14,False
2,Right_Head_Far,7,56.93998,-0.008992579,1.084403,-0.0047864,-0.06888165,0.753768,0.1834422,0.2221868,0.05057875,-0.04871113,-0.9724721,0.2798938,0.7077948,0.2383993,0.03277424,0.1870802,-0.1305199,0.9730835,MathCanvas,0.2402124,1.173391,1.748992,-0.009002663,1.084454,-0.004751322,0.1232201,0.03567208,0.991738,0.02267788,1.084453,-0.008726886,0.1233386,0.03517952,0.9917409,-0.04066304,1.084353,-0.0008459138,0.1233386,0.03517952,0.9917409,-0.008992579,1.084403,-0.0047864,357.9839,7.089234,0.08936084,0,14,False
2,Right_Head_Far,8,56.95998,-0.008991327,1.084389,-0.004821634,-0.06889428,0.7537778,0.183432,0.2222103,0.05050024,-0.04868948,-0.972472,0.280208,0.7078668,0.2385526,0.0341644,0.1861991,-0.1325735,0.972927,MathCanvas,0.2402124,1.173391,1.748992,-0.008992579,1.084403,-0.0047864,0.1233386,0.03517933,0.9917409,0.02267877,1.084447,-0.008764856,0.1234172,0.03487641,0.9917418,-0.04066143,1.084331,-0.0008784113,0.1234172,0.03487641,0.9917418,-0.008991327,1.084389,-0.004821634,358.0013,7.093699,0.1041972,0,14,False
2,Right_Head_Far,9,56.97998,-0.009011178,1.084496,-0.004850894,-0.06888144,0.7538195,0.1833451,0.2225253,0.05008304,-0.04849337,-0.9724313,0.2800621,0.70796,0.2388292,0.03614545,0.1825136,-0.1343379,0.9733117,MathCanvas,0.2402124,1.173391,1.748992,-0.009000894,1.08443,-0.004842938,0.1234916,0.03517314,0.991722,0.02265902,1.08457,-0.008793107,0.1233643,0.03545899,0.9917277,-0.04068138,1.084422,-0.0009086803,0.1233643,0.03545899,0.9917277,-0.009011178,1.084496,-0.004850894,357.9679,7.09079,0.1332658,0,14,False
